chunck_size,wave_offset,moving_average_index,r_squared
3,3,3,FAILED
3,3,4,FAILED
3,3,5,FAILED
3,3,6,FAILED
3,3,7,FAILED
3,3,8,FAILED
3,3,9,FAILED
3,3,10,FAILED
3,3,11,FAILED
3,3,12,FAILED
3,3,13,FAILED
3,3,14,FAILED
3,3,15,FAILED
3,3,16,FAILED
3,3,17,FAILED
3,3,18,FAILED
3,3,19,FAILED
3,3,20,FAILED
3,4,3,FAILED
3,4,4,FAILED
3,4,5,FAILED
3,4,6,FAILED
3,4,7,FAILED
3,4,8,FAILED
3,4,9,FAILED
3,4,10,FAILED
3,4,11,FAILED
3,4,12,FAILED
3,4,13,FAILED
3,4,14,FAILED
3,4,15,FAILED
3,4,16,FAILED
3,4,17,FAILED
3,4,18,FAILED
3,4,19,FAILED
3,4,20,FAILED
3,5,3,FAILED
3,5,4,FAILED
3,5,5,FAILED
3,5,6,FAILED
3,5,7,FAILED
3,5,8,FAILED
3,5,9,FAILED
3,5,10,FAILED
3,5,11,FAILED
3,5,12,FAILED
3,5,13,FAILED
3,5,14,FAILED
3,5,15,FAILED
3,5,16,FAILED
3,5,17,FAILED
3,5,18,FAILED
3,5,19,FAILED
3,5,20,FAILED
3,6,3,FAILED
3,6,4,FAILED
3,6,5,FAILED
3,6,6,FAILED
3,6,7,FAILED
3,6,8,FAILED
3,6,9,FAILED
3,6,10,FAILED
3,6,11,FAILED
3,6,12,FAILED
3,6,13,FAILED
3,6,14,FAILED
3,6,15,FAILED
3,6,16,FAILED
3,6,17,FAILED
3,6,18,FAILED
3,6,19,FAILED
3,6,20,FAILED
3,7,3,FAILED
3,7,4,FAILED
3,7,5,FAILED
3,7,6,FAILED
3,7,7,FAILED
3,7,8,FAILED
3,7,9,FAILED
3,7,10,FAILED
3,7,11,FAILED
3,7,12,FAILED
3,7,13,FAILED
3,7,14,FAILED
3,7,15,FAILED
3,7,16,FAILED
3,7,17,FAILED
3,7,18,FAILED
3,7,19,FAILED
3,7,20,FAILED
3,8,3,FAILED
3,8,4,FAILED
3,8,5,FAILED
3,8,6,FAILED
3,8,7,FAILED
3,8,8,FAILED
3,8,9,FAILED
3,8,10,FAILED
3,8,11,FAILED
3,8,12,FAILED
3,8,13,FAILED
3,8,14,FAILED
3,8,15,FAILED
3,8,16,FAILED
3,8,17,FAILED
3,8,18,FAILED
3,8,19,FAILED
3,8,20,FAILED
3,9,3,FAILED
3,9,4,FAILED
3,9,5,FAILED
3,9,6,FAILED
3,9,7,FAILED
3,9,8,FAILED
3,9,9,FAILED
3,9,10,FAILED
3,9,11,FAILED
3,9,12,FAILED
3,9,13,FAILED
3,9,14,FAILED
3,9,15,FAILED
3,9,16,FAILED
3,9,17,FAILED
3,9,18,FAILED
3,9,19,FAILED
3,9,20,FAILED
3,10,3,FAILED
3,10,4,FAILED
3,10,5,FAILED
3,10,6,FAILED
3,10,7,FAILED
3,10,8,FAILED
3,10,9,FAILED
3,10,10,FAILED
3,10,11,FAILED
3,10,12,FAILED
3,10,13,FAILED
3,10,14,FAILED
3,10,15,FAILED
3,10,16,FAILED
3,10,17,FAILED
3,10,18,FAILED
3,10,19,FAILED
3,10,20,FAILED
3,11,3,FAILED
3,11,4,FAILED
3,11,5,FAILED
3,11,6,FAILED
3,11,7,FAILED
3,11,8,FAILED
3,11,9,FAILED
3,11,10,FAILED
3,11,11,FAILED
3,11,12,FAILED
3,11,13,FAILED
3,11,14,FAILED
3,11,15,FAILED
3,11,16,FAILED
3,11,17,FAILED
3,11,18,FAILED
3,11,19,FAILED
3,11,20,FAILED
3,12,3,FAILED
3,12,4,FAILED
3,12,5,FAILED
3,12,6,FAILED
3,12,7,FAILED
3,12,8,FAILED
3,12,9,FAILED
3,12,10,FAILED
3,12,11,FAILED
3,12,12,FAILED
3,12,13,FAILED
3,12,14,FAILED
3,12,15,FAILED
3,12,16,FAILED
3,12,17,FAILED
3,12,18,FAILED
3,12,19,FAILED
3,12,20,FAILED
3,13,3,0.8257
3,13,4,0.6226
3,13,5,0.9434
3,13,6,0.9434
3,13,7,0.9276
3,13,8,0.9276
3,13,9,0.9289
3,13,10,0.9289
3,13,11,0.948
3,13,12,0.9496
3,13,13,0.9496
3,13,14,0.9548
3,13,15,0.9548
3,13,16,FAILED
3,13,17,FAILED
3,13,18,FAILED
3,13,19,FAILED
3,13,20,FAILED
3,14,3,FAILED
3,14,4,FAILED
3,14,5,FAILED
3,14,6,FAILED
3,14,7,FAILED
3,14,8,FAILED
3,14,9,FAILED
3,14,10,FAILED
3,14,11,FAILED
3,14,12,FAILED
3,14,13,FAILED
3,14,14,FAILED
3,14,15,FAILED
3,14,16,FAILED
3,14,17,FAILED
3,14,18,FAILED
3,14,19,FAILED
3,14,20,FAILED
3,15,3,FAILED
3,15,4,FAILED
3,15,5,FAILED
3,15,6,FAILED
3,15,7,FAILED
3,15,8,FAILED
3,15,9,FAILED
3,15,10,FAILED
3,15,11,FAILED
3,15,12,FAILED
3,15,13,FAILED
3,15,14,FAILED
3,15,15,FAILED
3,15,16,FAILED
3,15,17,FAILED
3,15,18,FAILED
3,15,19,FAILED
3,15,20,FAILED
4,3,3,FAILED
4,3,4,FAILED
4,3,5,FAILED
4,3,6,FAILED
4,3,7,FAILED
4,3,8,FAILED
4,3,9,FAILED
4,3,10,FAILED
4,3,11,FAILED
4,3,12,FAILED
4,3,13,FAILED
4,3,14,FAILED
4,3,15,FAILED
4,3,16,FAILED
4,3,17,FAILED
4,3,18,FAILED
4,3,19,FAILED
4,3,20,FAILED
4,4,3,FAILED
4,4,4,FAILED
4,4,5,FAILED
4,4,6,FAILED
4,4,7,FAILED
4,4,8,FAILED
4,4,9,FAILED
4,4,10,FAILED
4,4,11,FAILED
4,4,12,FAILED
4,4,13,FAILED
4,4,14,FAILED
4,4,15,FAILED
4,4,16,FAILED
4,4,17,FAILED
4,4,18,FAILED
4,4,19,FAILED
4,4,20,FAILED
4,5,3,FAILED
4,5,4,FAILED
4,5,5,FAILED
4,5,6,FAILED
4,5,7,FAILED
4,5,8,FAILED
4,5,9,FAILED
4,5,10,FAILED
4,5,11,FAILED
4,5,12,FAILED
4,5,13,FAILED
4,5,14,FAILED
4,5,15,FAILED
4,5,16,FAILED
4,5,17,FAILED
4,5,18,FAILED
4,5,19,FAILED
4,5,20,FAILED
4,6,3,FAILED
4,6,4,FAILED
4,6,5,FAILED
4,6,6,FAILED
4,6,7,FAILED
4,6,8,FAILED
4,6,9,FAILED
4,6,10,FAILED
4,6,11,FAILED
4,6,12,FAILED
4,6,13,FAILED
4,6,14,FAILED
4,6,15,FAILED
4,6,16,FAILED
4,6,17,FAILED
4,6,18,FAILED
4,6,19,FAILED
4,6,20,FAILED
4,7,3,FAILED
4,7,4,FAILED
4,7,5,FAILED
4,7,6,FAILED
4,7,7,FAILED
4,7,8,FAILED
4,7,9,FAILED
4,7,10,FAILED
4,7,11,FAILED
4,7,12,FAILED
4,7,13,FAILED
4,7,14,FAILED
4,7,15,FAILED
4,7,16,FAILED
4,7,17,FAILED
4,7,18,FAILED
4,7,19,FAILED
4,7,20,FAILED
4,8,3,FAILED
4,8,4,FAILED
4,8,5,FAILED
4,8,6,FAILED
4,8,7,FAILED
4,8,8,FAILED
4,8,9,FAILED
4,8,10,FAILED
4,8,11,FAILED
4,8,12,FAILED
4,8,13,FAILED
4,8,14,FAILED
4,8,15,FAILED
4,8,16,FAILED
4,8,17,FAILED
4,8,18,FAILED
4,8,19,FAILED
4,8,20,FAILED
4,9,3,FAILED
4,9,4,FAILED
4,9,5,FAILED
4,9,6,FAILED
4,9,7,FAILED
4,9,8,FAILED
4,9,9,FAILED
4,9,10,FAILED
4,9,11,FAILED
4,9,12,FAILED
4,9,13,FAILED
4,9,14,FAILED
4,9,15,FAILED
4,9,16,FAILED
4,9,17,FAILED
4,9,18,FAILED
4,9,19,FAILED
4,9,20,FAILED
4,10,3,FAILED
4,10,4,FAILED
4,10,5,FAILED
4,10,6,FAILED
4,10,7,FAILED
4,10,8,FAILED
4,10,9,FAILED
4,10,10,FAILED
4,10,11,FAILED
4,10,12,FAILED
4,10,13,FAILED
4,10,14,FAILED
4,10,15,FAILED
4,10,16,FAILED
4,10,17,FAILED
4,10,18,FAILED
4,10,19,FAILED
4,10,20,FAILED
4,11,3,FAILED
4,11,4,FAILED
4,11,5,FAILED
4,11,6,FAILED
4,11,7,FAILED
4,11,8,FAILED
4,11,9,FAILED
4,11,10,FAILED
4,11,11,FAILED
4,11,12,FAILED
4,11,13,FAILED
4,11,14,FAILED
4,11,15,FAILED
4,11,16,FAILED
4,11,17,FAILED
4,11,18,FAILED
4,11,19,FAILED
4,11,20,FAILED
4,12,3,FAILED
4,12,4,FAILED
4,12,5,FAILED
4,12,6,FAILED
4,12,7,FAILED
4,12,8,FAILED
4,12,9,FAILED
4,12,10,FAILED
4,12,11,FAILED
4,12,12,FAILED
4,12,13,FAILED
4,12,14,FAILED
4,12,15,FAILED
4,12,16,FAILED
4,12,17,FAILED
4,12,18,FAILED
4,12,19,FAILED
4,12,20,FAILED
4,13,3,FAILED
4,13,4,FAILED
4,13,5,FAILED
4,13,6,FAILED
4,13,7,FAILED
4,13,8,FAILED
4,13,9,FAILED
4,13,10,FAILED
4,13,11,FAILED
4,13,12,FAILED
4,13,13,FAILED
4,13,14,FAILED
4,13,15,FAILED
4,13,16,FAILED
4,13,17,FAILED
4,13,18,FAILED
4,13,19,FAILED
4,13,20,FAILED
4,14,3,FAILED
4,14,4,FAILED
4,14,5,FAILED
4,14,6,FAILED
4,14,7,FAILED
4,14,8,FAILED
4,14,9,FAILED
4,14,10,FAILED
4,14,11,FAILED
4,14,12,FAILED
4,14,13,FAILED
4,14,14,FAILED
4,14,15,FAILED
4,14,16,FAILED
4,14,17,FAILED
4,14,18,FAILED
4,14,19,FAILED
4,14,20,FAILED
4,15,3,FAILED
4,15,4,FAILED
4,15,5,FAILED
4,15,6,FAILED
4,15,7,FAILED
4,15,8,FAILED
4,15,9,FAILED
4,15,10,FAILED
4,15,11,FAILED
4,15,12,FAILED
4,15,13,FAILED
4,15,14,FAILED
4,15,15,FAILED
4,15,16,FAILED
4,15,17,FAILED
4,15,18,FAILED
4,15,19,FAILED
4,15,20,FAILED
5,3,3,FAILED
5,3,4,FAILED
5,3,5,FAILED
5,3,6,FAILED
5,3,7,FAILED
5,3,8,FAILED
5,3,9,FAILED
5,3,10,FAILED
5,3,11,FAILED
5,3,12,FAILED
5,3,13,FAILED
5,3,14,FAILED
5,3,15,FAILED
5,3,16,FAILED
5,3,17,FAILED
5,3,18,FAILED
5,3,19,FAILED
5,3,20,FAILED
5,4,3,FAILED
5,4,4,FAILED
5,4,5,FAILED
5,4,6,FAILED
5,4,7,FAILED
5,4,8,FAILED
5,4,9,FAILED
5,4,10,FAILED
5,4,11,FAILED
5,4,12,FAILED
5,4,13,FAILED
5,4,14,FAILED
5,4,15,FAILED
5,4,16,FAILED
5,4,17,FAILED
5,4,18,FAILED
5,4,19,FAILED
5,4,20,FAILED
5,5,3,FAILED
5,5,4,FAILED
5,5,5,FAILED
5,5,6,FAILED
5,5,7,FAILED
5,5,8,FAILED
5,5,9,FAILED
5,5,10,FAILED
5,5,11,FAILED
5,5,12,FAILED
5,5,13,FAILED
5,5,14,FAILED
5,5,15,FAILED
5,5,16,FAILED
5,5,17,FAILED
5,5,18,FAILED
5,5,19,FAILED
5,5,20,FAILED
5,6,3,FAILED
5,6,4,FAILED
5,6,5,FAILED
5,6,6,FAILED
5,6,7,FAILED
5,6,8,FAILED
5,6,9,FAILED
5,6,10,FAILED
5,6,11,FAILED
5,6,12,FAILED
5,6,13,FAILED
5,6,14,FAILED
5,6,15,FAILED
5,6,16,FAILED
5,6,17,FAILED
5,6,18,FAILED
5,6,19,FAILED
5,6,20,FAILED
5,7,3,FAILED
5,7,4,FAILED
5,7,5,FAILED
5,7,6,FAILED
5,7,7,FAILED
5,7,8,FAILED
5,7,9,FAILED
5,7,10,FAILED
5,7,11,FAILED
5,7,12,FAILED
5,7,13,FAILED
5,7,14,FAILED
5,7,15,FAILED
5,7,16,FAILED
5,7,17,FAILED
5,7,18,FAILED
5,7,19,FAILED
5,7,20,FAILED
5,8,3,FAILED
5,8,4,FAILED
5,8,5,FAILED
5,8,6,FAILED
5,8,7,FAILED
5,8,8,FAILED
5,8,9,FAILED
5,8,10,FAILED
5,8,11,FAILED
5,8,12,FAILED
5,8,13,FAILED
5,8,14,FAILED
5,8,15,FAILED
5,8,16,FAILED
5,8,17,FAILED
5,8,18,FAILED
5,8,19,FAILED
5,8,20,FAILED
5,9,3,-0.263
5,9,4,-1.2569
5,9,5,-1.2569
5,9,6,-1.2569
5,9,7,-1.2569
5,9,8,-1.2569
5,9,9,-1.2569
5,9,10,-1.9384
5,9,11,-0.4183
5,9,12,-1.1068
5,9,13,-1.0317
5,9,14,-0.9494
5,9,15,-0.7967
5,9,16,FAILED
5,9,17,FAILED
5,9,18,FAILED
5,9,19,FAILED
5,9,20,FAILED
5,10,3,FAILED
5,10,4,FAILED
5,10,5,FAILED
5,10,6,FAILED
5,10,7,FAILED
5,10,8,FAILED
5,10,9,FAILED
5,10,10,FAILED
5,10,11,FAILED
5,10,12,FAILED
5,10,13,FAILED
5,10,14,FAILED
5,10,15,FAILED
5,10,16,FAILED
5,10,17,FAILED
5,10,18,FAILED
5,10,19,FAILED
5,10,20,FAILED
5,11,3,FAILED
5,11,4,FAILED
5,11,5,FAILED
5,11,6,FAILED
5,11,7,FAILED
5,11,8,FAILED
5,11,9,FAILED
5,11,10,FAILED
5,11,11,FAILED
5,11,12,FAILED
5,11,13,FAILED
5,11,14,FAILED
5,11,15,FAILED
5,11,16,FAILED
5,11,17,FAILED
5,11,18,FAILED
5,11,19,FAILED
5,11,20,FAILED
5,12,3,FAILED
5,12,4,FAILED
5,12,5,FAILED
5,12,6,FAILED
5,12,7,FAILED
5,12,8,FAILED
5,12,9,FAILED
5,12,10,FAILED
5,12,11,FAILED
5,12,12,FAILED
5,12,13,FAILED
5,12,14,FAILED
